id,city,institution,money,dropoff_day,email,wallet_recovery,wallet_totalrecovery,male,age40,computer,coworkers,other_bystanders,security_cam,security_guard,english,understood_situation,busy,hotel,bank,cultural,public,postal,name_owner,record,o_male,o_age40,o_computer,o_coworkers,o_other_bystanders,o_employees_handle,o_security_cam,o_security_guard,o_english,o_understood_situation,o_busy,revisit_day,r_employees_handle,r_hnsty_nocontact,r_hnsty_takeaway,r_knwres,keymissing,cardmissing,notemissing,moneymissing,wcovermissing,wavialabel,rice,cis
29_025,Xi'an,Postal Office,No Money,30Aug2019,0,100,100,1,40+,0,1,1,1,0,0,6,0,0,0,0,0,1,Li Qiang,1,1,40+,0,1,1,2,1,0,0,5,1,06Sep2019,3 or more,0,6,0,0,0,0,,0,0,5.19,4.04
29_026,Xi'an,Postal Office,No Money,30Aug2019,100,100,100,1,smaller than 40,1,0,0,1,0,0,6,1,0,0,0,0,1,Chang Wei,1,1,smaller than 40,1,0,0,1,1,0,0,5,2,06Sep2019,1,0,6,0,0,0,0,,0,0,5.19,4.04
29_027,Xi'an,Bank,Money,30Aug2019,0,0,0,1,40+,0,1,1,1,1,0,5,1,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,06Sep2019,9,,5,0,1,1,1,1,1,0,5.19,4.04
29_028,Xi'an,Hotel,Money,30Aug2019,0,100,100,0,smaller than 40,1,1,1,1,0,0,6,1,1,0,0,0,0,Wang Lei,0,,,,,,,1,0,,,,06Sep2019,9,5,6,0,0,0,0,0,0,0,5.19,4.04
29_029,Xi'an,Public Place,Money,30Aug2019,100,100,100,1,smaller than 40,1,0,0,1,1,0,5,1,0,0,0,1,0,Chang Wei,0,,,,,,,1,1,,,,06Sep2019,1,6,6,0,0,0,0,0,0,0,5.19,4.04
29_030,Xi'an,Hotel,No Money,30Aug2019,100,100,100,1,smaller than 40,1,1,0,1,0,0,5,1,1,0,0,0,0,Wang Lei,1,1,smaller than 40,1,1,0,2,1,0,0,5,2,06Sep2019,,,,,0,0,0,,0,0,5.19,4.04
29_031,Xi'an,Cultural Attractions,Money,30Aug2019,100,100,100,1,smaller than 40,1,1,0,1,0,1,4,0,0,0,1,0,0,Chang Wei,0,,,,,,,1,1,,,,06Sep2019,3 or more,5,6,0,0,0,0,0,0,0,5.19,4.04
29_032,Xi'an,Public Place,Money,03Sep2019,100,100,100,1,smaller than 40,1,1,0,1,1,1,6,1,0,0,0,1,0,Wang Lei,0,,,,,,,1,0,,,,10Sep2019,1,5,5,0,0,0,0,0,0,0,5.19,4.04
29_033,Xi'an,Postal Office,Money,03Sep2019,0,100,100,1,40+,1,1,1,1,0,0,6,1,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,10Sep2019,3 or more,,,,0,0,0,0,0,0,5.19,4.04
29_034,Xi'an,Bank,Money,03Sep2019,100,100,100,0,smaller than 40,1,1,0,1,0,1,5,1,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,10Sep2019,2,0,0,0,0,0,0,0,0,0,5.19,4.04
29_035,Xi'an,Hotel,No Money,03Sep2019,0,100,100,0,smaller than 40,1,1,0,1,0,0,6,1,1,0,0,0,0,Wang Lei,1,0,smaller than 40,1,1,0,2,1,0,0,5,4,10Sep2019,2,4,6,0,0,0,0,,0,0,5.19,4.04
29_037,Xi'an,Postal Office,Money,03Sep2019,0,100,100,0,40+,1,1,0,1,0,0,6,0,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,10Sep2019,2,3,4,0,0,0,0,0,0,0,5.19,4.04
29_038,Xi'an,Hotel,No Money,03Sep2019,0,100,100,1,smaller than 40,1,1,0,1,0,1,6,2,1,0,0,0,0,Chang Wei,1,1,smaller than 40,1,1,0,3 or more,1,0,,5,3,10Sep2019,3 or more,,6,0,0,0,0,,0,0,5.19,4.04
29_041,Xi'an,Bank,No Money,29Aug2019,0,100,100,1,smaller than 40,0,1,1,1,1,1,5,0,0,1,0,0,0,Chang Wei,1,1,smaller than 40,0,1,1,1,1,1,0,6,3,06Sep2019,2,3,6,0,0,0,0,,0,0,5.19,4.04
451_001,Harbin,Hotel,No Money,01Nov2019,0,100,100,1,smaller than 40,1,1,0,0,0,0,3,0,1,0,0,0,0,Chang Wei,0,,,,,,,1,0,,,,08Nov2019,9,4,6,0,0,0,0,,0,0,9.66,4.34
451_002,Harbin,Bank,Money,06Nov2019,0,100,100,0,smaller than 40,0,1,1,1,1,1,5,0,0,1,0,0,0,Chang Wei,1,0,smaller than 40,0,1,0,3 or more,1,0,1,6,0,14Nov2019,2,0,6,0,0,0,0,0,0,0,9.66,4.34
451_003,Harbin,Bank,Money,06Nov2019,0,100,100,1,smaller than 40,1,1,1,1,1,1,6,3,0,1,0,0,0,Li Qiang,1,1,smaller than 40,1,1,1,2,1,0,0,5,4,14Nov2019,2,5,6,0,0,0,0,0,0,0,9.66,4.34
451_004,Harbin,Bank,No Money,29Oct2019,100,100,100,0,smaller than 40,0,1,1,1,1,0,4,2,0,1,0,0,0,Li Qiang,1,0,smaller than 40,0,1,1,3 or more,1,0,0,6,1,05Nov2019,9,6,6,0,0,0,0,,0,0,9.66,4.34
451_005,Harbin,Bank,No Money,29Oct2019,100,100,100,0,smaller than 40,0,1,1,1,1,0,3,0,0,1,0,0,0,Chang Wei,1,0,smaller than 40,0,1,1,3 or more,1,0,0,6,0,05Nov2019,9,4,6,0,0,0,0,,0,0,9.66,4.34
451_006,Harbin,Bank,No Money,29Oct2019,0,100,100,0,smaller than 40,0,1,1,1,1,0,3,1,0,1,0,0,0,Wang Lei,1,0,smaller than 40,0,1,0,2,1,0,0,6,1,05Nov2019,1,0,,0,0,0,0,,0,0,9.66,4.34
451_007,Harbin,Bank,No Money,29Oct2019,0,0,0,1,smaller than 40,1,1,1,1,1,0,6,1,0,1,0,0,0,Li Qiang,1,1,smaller than 40,1,0,0,3 or more,1,0,0,6,2,05Nov2019,9,5,6,0,1,1,1,,1,0,9.66,4.34
451_008,Harbin,Bank,Money,30Oct2019,0,100,100,1,smaller than 40,1,1,1,1,0,1,4,0,0,1,0,0,0,Li Qiang,1,1,smaller than 40,0,1,0,2,1,0,1,6,0,06Nov2019,3 or more,4,6,0,0,0,0,0,0,0,9.66,4.34
451_009,Harbin,Bank,No Money,30Oct2019,0,100,100,0,smaller than 40,1,1,1,1,0,0,5,0,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,06Nov2019,9,,6,0,0,0,0,,0,0,9.66,4.34
